Test,Ref,Unit
BLOOD UREA NITROGEN 70-170 BILIRUBIN SERUM TOTAL DIRECT INDIRECT sau BILIRUBIN TOTAL,0.20-1.20,mo dL Diphylline
Blood Urea Nitrogen BUN,7.94-20.1,mg/dL
BLOOD UREA NITROGEN BUN),4.67-23,mg/dL
BLOOD UREA NITROGEN(BUN),5-23,mg/dL
BLOOD UREA NTTROGEN(BUN),,mg/dL
"BLOOD UREA, Serum",12.8-42.8,mg/dL
BLOOD GROUP TYPE,,
BMI,,kg/sqmts
BMI,,
BMI,Below 18.5: Underweight;,kg/sqmts
BP,,mm/Hg
BP,,mm of Hg
Breath Sounds,,
BREATH SOUNDS INTENSITY,,
BREATH SOUNDS QUALITY,,
Breathlessness,,
BS/BP,,
BUILT SKELETAL FRAMEWORK,,
BUN,4.6-18.4,mg/dL
BUN,4.67-23,mg/dL
BUN,0.5-1.2,mg/dL
BUN,08-23,mg%
BUN,7-18,mg/dL
BUN,5-21,mg/dL
BUN,7-20,ma/dL
BUN Blood Urea Nitrogen,5.0-25.0,mg/dL
Bun (Blood Urea Nitrogen),7-25,mg/dL
BUN (BLOOD UREA NITROGEN),4-21,mg/dL
BUN / S.Creatinine,,
Bun Blood Urea Nitrogen,7-25,mg/dL
BUN SERUM,6-20,mg/dL
Bun(Blood Urea Nitrogen ),7-25,mg/dL
BUN(Blood Urea Nitrogen),6-20,mg/dL
BUN(Blood Urea Nitrogen),5..0-25.0,mg/dL
BUN(Blood Urea Nitrogen),5.0-25.0,mg/dL
Bun(Blood Urea Nitrogen),7-25,mg/dL
"BUN, Serum",6-20,mg/dL
"BUN, SERUM",13-40,mg/dL
BUN-Blood Urea Nitrogen,7.0-21.0,mg/dL
BUN-Blood Urea Nitrogen,7-21,mg/dL
BUN-Blood Urea Nitrogen,7-51,mg/dL
BUN/Crea Ratio,,
BUN/CREATININE RATIO,10-20.1,
Burning,,
CALCIUM,8.6-10.0,mg/dL
CALCIUM,8.6-10.2,mg/dL
Calcium,8.5-10.1,mg/dL
"CALCIUM, SERUM",8.4-10.2,mg/dL
CALCIUM - SERUM,9.2-11.0,mg/dL
CALCIUM - SERUM,8.6-10.3,mg/dL
CALCIUM OXALATE,",",
"CALCIUM, , SERUM",8.7-10.4,mg/dL
Cardiac size,,
CARDIAC STRESS TEST – (TMT),,
CARDIOVASCULAR SYSTEM BP 110/70,mm/Hg,HG
CARDIOVASCULAR SYSTEM BP 130/86,mm/Hg,HG
CARDIOVASCULAR SYSTEM BP 137/95,mm/Hg,HG
CAROTID PULSATION,,
Cast,,
Cast,Absent,
Cast,Others,
Cast,Nil,/HPF
Cast\' s,Absent,
Cast\'s,Absent,
Casts,,
CASTS,NOT DETECTED,
Casts,Nil,/HPF
Casts,Nil,/LPF
CASTS,NIL,NIL
Casts,,/HPF
CASTS,NIL,
CASTS,,NiL
CASTS,NlL,
CASTS,AESENT,
Casts,,/LPF
CASTS,ABSENT,/ hpf
CASTS,,NOT DETECTED
CASTS,ABSENT,/hpf
Casts & Crystals,,
CASTS>NIL,,
CBC performed on fully automated sysmex 800i/XP100,,
Cells/cu 4000-11000 Differential count Neutrophils,40-70,%
CENTRAL NERVOUS SYSTEM,,
CEREBELLAR FUNCTIONS,,
Charcol Leyden,,
Charcot Leyden,,
CHARCOT-LEYDEN CRYSTALS,NOT DETECTED,
CHCATININE,0.6-1.1,mg/dL
Chemical Examination,,
CHEMICAL EXAMINATION Urine Albumin,,
Chief Complaints,,
CHLORIDE,98-107,mmol/Lt
Chloride,94-110,mmol/L
CHOD PAP,Borderline 200.0 239.0 High>240.0,
"CHOL / HDL CHOL RATIO, SERUM",0.4-5 Ratio,
"CHOL / HDL CHOL RATIO, Serum",0-4.5 Ratio,
"CHOL / HDL CHOL RATIO, Serum",0-4.5,
"CHOL / HDL CHOL RATIO, Serum",0-4.5,Ratio
Chol / HDL Chol.,2.6-4.9,
CHOL / HDL RATIO,0-4.97,
CHOL / HDL RATIO,Desirable level:0-4.3 Borderline level: 4.4-11 High level >11,
CHOL / HDL RATIO,0.4-97,
CHOL / HDL Ratio,3.900-5.000;,Ratio
CHOL / HDL RATIO,0-4-97,
CHOL / HDL Ratio,3.900-5.000,Ratio
CHOL / HDL RATIO,Desirable level:0-4.3 Borderline level :4.4;,Ratio
CHOL / HDL RATIO,0-4.97,mg/dL
CHOL / HDL Ratio,3.900-5.000,mg/dL
Chol / HDL Ratio,Low Risk: 3.3-4.4,
CHOL / HDL Ratio,3.5-5.0,
Chol /HDL Chol,2.6-4.9,
Chol /HDL Ratio,0-5.0,
CHOL /HDL RATIO,0-4.97,
Chol /HDL Ratio,0-4.10,
Chol /HDL Ratio,0-4.10,mg/dL
CHOL CHOLESTEROL,0-30,mg/dL
Chol./HDL Chol,2.6-4.9,
CHOL/HDL RATIO,0-4.97,
CHOL/HDL RATIO,3.9-5,
Chol/HDL Chol.,2.6-4.9,
CHOL/HDL RATIO,3.5-5,
CHOL/HDL RATIO,3.3-4.4 Low Risk 4.5-7.0 Average Risk 7.1-11.0 Moderate Risk >11.0 High Risk,mg/dL
CHOL/HDL RATIO,3.3-4.4 Low Risk,mg/dL
CHOL/HDL RATIO,Low 3.3-4.4 Low Risk;,
CHOL/HDL RATIO,4-6,
CHOL/HDL RATIO,3.30-4.40,
CHOL/HDL Ratio,3.900-5.000,Ratio
CHOL/HDLRATIO,0-4.97,
CHOL/TGL Ratio,,
Cholestelol-serum,120-240,mg/dL
Cholestero Total,Desirable level 0-200 Borderline 200-240;,mg/dL
CHOLESTEROL,0-200 Desirable;,mg/dL
CHOLESTEROL,Desirable: 0-200;,mg/dL
CHOLESTEROL,Normal 0-200,mg/dL
CHOLESTEROL,Desirable - less than: 200 ;,mg/dL
CHOLESTEROL,120-240,mg/dL
CHOLESTEROL,Desirable 0-200 ;,mg/dL
CHOLESTEROL,High0-200 Desirable 200-239 Borderline High >/=240 High,mg/dL
CHOLESTEROL,Desirable - less than: 200,mg/dL
CHOLESTEROL,0-200 desirable ;,mg/dL
CHOLESTEROL,Desirable less than :200,mg/dL
CHOLESTEROL,Desirable 0-200;,mg/dL
CHOLESTEROL,150-250,mg/dL
CHOLESTEROL,Desirable - less than: 200,mgdl
CHOLESTEROL,Desirable - less than: 200 Borderline High-200-239 High>239,mg/dL
CHOLESTEROL,Desirable-less than:200 ;,mg/dL
CHOLESTEROL,Desirable - less than: 200 Borderline High -200-239 High >239,mg/dL
CHOLESTEROL,Desirable-less than:200 mg/dL;,mg/dL
CHOLESTEROL,Desirable - Jess than: 200 ;,mg/dL
CHOLESTEROL,Desirable - less than: 200 Borderline High - 200-239 High > 239,mg/dL
CHOLESTEROL,Desirable - less than: 200;,mg/dL
Cholesterol,Desirable: 0-200 ;,mg/dL
Cholesterol,Normal : 0-200 ;,mg/dL
CHOLESTEROL,0.1-200,mg/dL
Cholesterol,Normal : 0-200;,mg/dL
CHOLESTEROL,Desirable - less than. 200 ;,mp/dl
CHOLESTEROL,Desirable 0-200,mg/dL
CHOLESTEROL,Desirable : 0-200;,mg/dL
CHOLESTEROL,Desirable - less than :200,mg/dL
CHOLESTEROL,Normal 0-200 ;,mg/dL
CHOLESTEROL,Desirabie - less than 200,mg/dL
CHOLESTEROL,0-200-Desirable;,mg/dL
CHOLESTEROL,Desirable 0 - less than:200 Borderline High-200-239mg/dL High ;,mg/dL
CHOLESTEROL,0-200 - Desirable ;,mg/dL
CHOLESTEROL,HIGH 0-200 Desirable 200-239 Borderline High>/= 240 High,mg/dL
CHOLESTEROL,Desirable: 0-200,mg/dL
CHOLESTEROL,Desirable: 0-200 BorderlineHigh : 200-239 High : > or = 240,mg/dL
Cholesterol,mg/dL0-200 Optimal 200-239,
Cholesterol,30-70,mg/dL
Cholesterol (Total),0-250,mg/dL
CHOLESTEROL - SERUM / PLASMA,Desirable:0-200;,mg/dL
CHOLESTEROL - SERUM / PLASMA,Desirable: 0-200;,mg/dL
CHOLESTEROL -SERUM/PLASMA,Desirable 0-200;,mg/dL
Cholesterol / HDL Ratio,Less than 5,mg/dL
Cholesterol / HDL Ratio-serum,0.0-4.5,
Cholesterol /HDL Ratio Serum,0-4.5,
Cholesterol LDL,0.00-3.50,/ HDL Ratio
Cholesterol LDL / HDL Ratio,0.00-3.50,
Cholesterol LDL / HDL Ratio,0.00-3.50,mg/dL
Cholesterol LDL / HDL Ratio,0.00-3.50;,
Cholesterol LDL/HDL Ratio,0.00-3.50,mg/dL
CHOLESTEROL Serum,,mg/dL
CHOLESTEROL SERUM CHOLESTEROL 1560-200,200-239,mg/dL Borderline
CHOLESTEROL SERUM CHOLESTEROL 1890-200,200-239,mg/dL Borderline
CHOLESTEROL SERUM/PLASMA,Desirable 0-200;,mg/dL
Cholesterol Total,Desirable: 0-200.0,mg/dL
Cholesterol Total,Desirable level 0-200;,mg/dL
Cholesterol Total,Desirable: 0-200.0;,mg/dL
Cholesterol Total,0.00-4.90,/ HDL Ratio
CHOLESTEROL TOTAL,140-200,mg/dL
Cholesterol Total,Desirable level >200;,mg/dL
Cholesterol Total,;,mg/dL
Cholesterol Total,Desirable level 0-200;,me/dL
Cholesterol Total,Desirable level 0-200,mg/dL
CHOLESTEROL TOTAL,201-250: Borderline >251: Elevated;,mg/dL
Cholesterol Total,Desirable: 0-200.0 ;,mg/dL
Cholesterol Total,Desirabale level 0-200;,mg/dL
Cholesterol Total,Desirable: 0-200.0 Borderline: 200.0-239.0;,mg/dL
Cholesterol Total,Desirable level 0-200 Borderline 200-240;,mg/dL
Cholesterol Total,Desirable0-200.0,mg/dL
Cholesterol Total,200.0,mg dL Desirable
Cholesterol Total,,mg/dL
Cholesterol Total (CHOD-PAP),Desirable: 0-200.0,mg/dL
Cholesterol Total / HDL Ratio,0.00-4.90,
Cholesterol Total / HDL Ratio,0.00-4.90,mg/dL
Cholesterol Total / HDL Ratio Derived,0.00-4.90,
Cholesterol(Total),0-250,mg/dL
"CHOLESTEROL, ",Desirable - less than: 200 ;,mg/dL
"CHOLESTEROL, Serum",Desirable: 0-200 ;,mg/dL
"CHOLESTEROL, Serum",Desirable: 0-200 ;,
"CHOLESTEROL, Serum",Desirable: 0-200 mg/dL;,
"CHOLESTEROL, Serum",Desirable: 0-200 mg/dL;,mg/dL
"CHOLESTEROL, Serum",Desirable: 0-200;,
"CHOLESTEROL, Serum",Desirable :0-200 ;,mg/dL
"CHOLESTEROL, Serum",Desirable: 0-200,mg/dL
"Cholesterol, Total",120-250,mg/dL
Cholesterol-serum,120-240,mg/dL
CHOLESTEROL-SERUM/PLASMA,Desirable0-200;,mg/dL
Cholesterol-Total,Desirable: 0-200;,mg/dL
CHOLESTEROL.,Desirable: 0-200 ;,mg/dL
Cholesterol/HDL,3.5-5.0,mg/dL
Cholesterol/HDL,,
CHOLESTEROL/HDL Ratio0-4.5,,
Cholesterol;Serum,100.0-200.0,mg/dL
CHOLESTEROUHDL Ratio,0.4,
Cholestrol,Desirable : 0-200;,
Cholestrol / HDL Ratio,Less than 5,mg/dL
Cholestrol / HDL Ratio,Less than 6,mg/dL
Cholestrol :HDL ratio,Desirable:0-4.0;,mg/dL
Ciliates,Absent,
Cilliates,Absent,
cldt,34.s,
CNS,,
COLOLR,PALE YELLOW,
Colon,,
COLOR,,
Color,Pale Yellow,
Color,Yellow,Pale
COLOR,CLEAR,
Color/Appereance,,
Colour,Brown,
COLOUR,PAIE YELTOW,
Colour,,ml
Colour,:,
COLOUR,PATE YELLOW,
COLOUR,PATE YETLOW,
COLOUR,PALEYELLOW,
COLOUR,PALE YETLOW,
COLOUR,PALE YELTOW,
COLOUR,,
COLOUR,YELLOW,PALE
Colour P/yellow Appearance,,
COLOUR VISION,,
COMMENT,,
COMMENTS,,
Complete Blood Count,,
COMPLETE BLOOD COUNT CBC WHOLE BLOOD-EDTA HAEMOGLOBIN,12-15,g/dL
Complete Blood Counts R.B.C Count,4.5-6.5,mil/emm
Complete Blood Counts R.B.C Count,4.5-6.5,mill/cmm
COMPLETE URINE REPORT Sed Volume,,
CONCENTRATION (MCHC),Birth - 12 Years:33 +/-4,
Concentration Method (for ova),Absent,
CONJUNCTIVA,,
CONSISTENCY,,
CONSISTENCY,SEMI SOLID,
CONVERSION OF NITRATE TO NITRITE WBC,1-2,0-5
CORNEA,,
cotinine concentration of,0-200,ng/ml
COTININE URINE,,
Cough,,
CRANIAL NERVES,,
Creatine,0.50-1.50,mg/dL
CREATININE,0.90-1.30,mg/dL
CREATININE,0.70-1.20,mg/dL
Creatinine,Female:0.50-0.80;,ma/dL
CREATININE,0.5-1.4,mg/dL
CREATININE,Low 0.90-1.30,mg/dL
Creatinine,0.50-1.20;,mg/dL
Creatinine,0.7-1.3,mg/dL
CREATININE,0.5-1.5,mg/dL
CREATININE,0.9-1.3,mg/dL
Creatinine,0.50-1.20,mg/dL
CREATININE,0.70-1.30,mg/dL
CREATININE,0.66-1.25;,mg/dL
Creatinine,0.6-1.5,mg/dL
Creatinine,Adults:;,mg/dL
Creatinine,0.65-1.4,mg/dL
CREATININE,0.5-1.04,mg/dL
CREATININE,0.60-1.20,mg/dL
CREATININE,,mg/dL
Creatinine,0.50-1.50,mg/d
CREATININE,0.6-1.1,mg/dL
Creatinine,"Female:0.50-0,80;",mg/dL
CREATININE,Male: 0.6-1.5,mg/dL
Creatinine,Adult:;,mg/dL
Creatinine,0.4-1.4,mg/dL
Creatinine,Adults;,mg/dL
CREATININE,0.7-1.2,mg/dL
Creatinine,Aduits:;,mg/dL
Creatinine,0.5-0.8,mg/dL
CREATININE,0.9-1.3;,mg/dL
Creatinine,Adults: Male : 0.6-1.5 ;,mg/dL
Creatinine,Adults: ;,mg/dL
Creatinine,Adults :;,mg/dL
CREATININE,0.60-1.10,mg/dL
Creatinine,Male : 0.6-1.5;,mg/dL
CREATININE,Male 0.7-1.2,mg/dL
Creatinine,Adutts:;,mg/dL
Creatinine,0.1-0.4,mg/dL
Creatinine,Female:0.50-0.80 ;,mg/dL
Creatinine,Female:0.50-0.80;,mg/dL
Creatinine,Adult :;,mg/dL
CREATININE,06-1.1,mg/dL
CREATININE,0.5-1.3,mg/dL
Creatinine,0.72-1.25,mg/dL
CREATININE,Male : 0.7-1.4 ;,mg/dL
CREATININE,05-1.5,mg/dL
CREATININE,0.67-1.17,mg/dL
CREATININE,Female : 0.5-1.0,mg/dL
CREATININE,0.9-13,mg/dL
CREATININE,Low 0.70-1.20,mg/dL
CREATININE,0.5-13,mg/dL
CREATININE,0.6-1.3,mg/dL
Creatinine,0.7-15,my/db
Creatinine,0.8-1.4,mg/dL
CREATININE,mu/dl,
"CREATININE, SErRUM",0.5-1.04,mg/dL
"CREATININE, SERUM",0.70-1.30,mg/dL
"CREATININE, SERUM",0.70-130,mg/dL
"CREATININE, SERUM",0.5-1.0;,mg/dL
"CREATININE, SERUM",0.66-1.25;,mg/dL
"CREATININE, SERUM",0.66-1.25,me/dL
"CREATININE, SERUM",0.66-1.25,mg/dL
"CREATININE, SERUM",0.6-1.1,mg/dL
"CREATININE, SERUM",0.55-1.02,mg/dL
"CREATININE, SERUM",0.5-1.04,mg/dL
"CREATININE, SERUM",0.5-1.0,mg/dL
"CREATININE, SERUM",0.4-0.8,mg/dL
"CREATININE, SERUM",0.7-1.3,mg/dL
"CREATININE, SERUM",070-1.30,mg/dL
"CREATININE, SERUM",0.55-1.02;,mg/dL
"CREATININE, SERUM",8.4-10.2,mg/dL
"CREATININE, SERUM",0.6-1.1;,mg/dL
"CREATININE, SERUM",0.5-1.04;,mg/dL
CREATININE - SERUM / PLASMA,0.90-1.30,mgdL
CREATININE - SERUM / PLASMA,0.90-1.30,mg/dL
CREATININE Serum,0.51-0.95,mg/dL
CREATININE SERUM,,mg/dL
CREATININE SERUM,_(0.70-1.30,mg/dL
CREATININE SERUM CREATININE,0.90-1.30,mg/dL
CREATININE SERUM CREATININE,0.90-1.30,Low
CREATININE SERUM/PLASMA,0.90-1.30,mg/dL
"CREATININE, Serum",0.67-1.17,mg/dL
"CREATININE, Serum",0.51-0.95,mg/dL
"CREATININE, SERUM",0.70-1.30;,mg/dL
"CREATININE, , SERUM",0.55-1.02,mg/dL
Creatinine-serum,0.6-1.4,mg/dL
CREATININE-SERUM/PLASMA,0.90-1.30,mg/dL
CREATININE.,0.5-1.5,mg/dL
Creatinine; Serum,0.7-1.3,mg/dL
Creatinine; Serum;,0.6-1.4,mg/dL
Crysfals,,
Crystal,,
CRYSTAL,ABSENT,
Crystals,,
CRYSTALS,NOT DETECTED,
Crystals,Nil,/HPF
Crystals,Nil,
CRYSTALS,NIL,NIL
Crystals,,/HPF
CRYSTALS,,NiL
CRYSTALS,NIL,NIiL
CRYSTALS,NlL,
CRYSTALS,NIL;,
CRYSTALS,AESENT,
CRYSTALS,ASSENT,
CRYSTALS,A85ENT,
CRYSTALS,,NOT DETECTED
CRYSTATLS,ASSENT,
CRYSTATS,ABSENT,
CRYSTATS,ASSENT,
cu-mm 4000-11000 Differential Count Neutrophils,40-75,%
CVS,,
CYSl,,
Cyst,,
CYSTS,ABSENT,
Cysts,,
CYSTS,NOT DETECTED,
DEGREE OF GLUCOSE CONTROL,4.5-5.7,%
DENTAL CHECK UP,,
Deposit,,
Deposite,,
Deposits,,
Deposits,Absent,
Depusits,,
Desirable Borderline,High High Very High,
Desirable0-200 Borderline0-200-240 High>240 modal HDL Cholesterol,35-80,mg/dL
Desirable0-200.0 CHOD-PAP Borderline 200.0-239.0 High>240.0,,mg/dL
Diabetes>126 and above fiMerhod GOO-POO Prediabetes 100-225,,
Diabetic range,High risk More than 7.0,%
Diabetic range>6.5,High risk More than 7.0,%
Diabetic>or,,mg/dL
Diabetle>or,,mg/dL
Diazonium salt BILIRUBIN CONJUGATED DIRECT,0.0-0.3,mg/dL
Diazonium salt BILIRUBIN CONJUGATED DIRECT 0.0-0.3 BILIRUBIN INDIRECT 0.0-1.1 CREATININE SAuu,,mg/dL
Diazonium Salt Nitrite,Absent,
Diazonium Salt Urobilinogen,,
DIFFERENTIAL COUNT Neutrophils,40-75,%
DIFFERENTIAL COUNT NEUTROPHILS,40-80,Me
DIFFERENTIAL COUNT Neutrophils>66,40-75,%
DIFFERENTIAL COUNT PERFORMED ON,,
DIFFERENTIAL COUNT PERFORMED ON:,,
DIFFERENTIAL COUNT Polymorphs,60,%
Differential Leucocyte Count Polymorphs,40-80,%
DIFFERENTIAL LEUCOCYTIC COUNT DLC NEUTROPHILS,40-80,
Differential Leukocyte Count,,
DIFFERENTIAL COUNT NEUTROPHILS,50-70,%
DIGITAL X-RAY CHEST PA VIEW,,
Dipstick,,
Dipstick / pH paper,,
Dipstick/ Benedicts reagent,,
Dipstick/Benedicts reagebt,,
Dipstick/Heat & acetic acid,,
Dipstick/pH paper,,
Direct,0.2-1.0,mg/dL
Direct,0.1-0.40 mg/dL,mg/dL
Direct,0.1-0.40,mg/dL
Direct,0.1-0.40 ;,mg/dL
Direct,[0.1-0.40 mg/dL],mg/dL
Direct,[0.1-0.40 ],mg/dL
DIRECT,0-0.3,mg/dL
Direct,mgs/dl,
Direct (DCA),0.1-0.20,mg/dL
Direct (DSA),0.1-0.40,mg/dL
Direct (pca),0.1-0.20,mg/dL
Direct (VOX),0.1-0.40,mg/dL
Direct (VOX),[0.1-0.40 ],mg/dL
Direct Bilirubin,0-0.3,mg/dL
DIRECT BILIRUBIN,0.0-0.2,mg/dL
Direct Bilirubin,0.0-0.2,me/dl
Direct Bilirubin,0.1-0.40,mg/dL
DIRECT LDL CHOLESTEROL,0-100 Optimal;,mg/dL
DIRECT LDL CHOLESTEROL,0-100,mg/dL
DIRECT SERUM BILIRUBIN,0-0.3,mg/dL
Direct VOX,0.1-0.40,mg/dL 00-0.30 mg/dL
DISTANT VISION LEFT EYE WITH GLASSES,,
DISTANT VISION LEFT EYE WITH GLASSES DISTANT VISION 6/6,,
DISTANT VISION LEFT EYE WITHOUT GLASSES,,
DISTANT VISION RIGHT EYE WITH GLASSES,,
DISTANT VISION RIGHT EYE WITH GLASSES DISTANT VISION 6/6,,
DISTANT VISION RIGHT EYE WITHOUT GLASSES,,
DL Cholesterol,Low Risk 0-100;,mg/dL
DLC: Neurtrophils,40-75,%
DOPPLER STUDIES,,
Dribbling,,
DRUG ALLERGIS,,
Duration,,
DX CHEST PA,,
Dyspnoea,,
E.C.G. REPORT,,
E.S.R,00-15,mm/1st hr
E.S.R,00-15,mm/1st hour
E.S.R,0-15,mm /hr
E.S.R,2-15(Men);,mm/1st hour
E.S.R,0-20,mm/1st hr
E.S.R,2-15mm-(Men),mm/1st hour
E.S.R,,mm/hr
E.S.R,2-15 - (Men) ;,10mm/1st hour
E.S.R (Western green),0-15,mm / hr
E.S.R.,0-15,mm / hr
E.S.R.,0-15,mm/hr
E.S.R.,0-20,mm/hr
E.S.R.,2-15mm-1st Hour(Men);,mm/1st hour
E.S.R. ( Western green ),0-15,mm / hr
E.V 5-21,,mg/dL
E.V.42-52,,%
ECG,,
ECG,No Significant ST -T Changes,
ECG,,","
ECG REPORT,,
ECG (12 leads),,
EDEMA,,
EF,,%
"eGFR (calculated), Serum",>60 /1.73sqm,ml/min
"eGFR (calculated), Serum",0.67-1.17,mg/dL
"eGFR (calculated), Serum",>60,ml/min/1.73sqm
"eGFR, Serum",>60,ml/min/1.73sqm
"eGFR, Serum",>60 ml/min/1.73sqm,
"eGFR, Serum",>60-1.73,ml/min/sqm
"eGFR, Serum",>60,ml/min/1.73 sqm
"eGFR, Serum",>60 /1.73sqm,ml/min
"eGFR, Serum",>60,ml/ min/1.73sqm
"eGFR, Serum",>60,ml /min/1.73sqm
"eGFR, Serum",>60 ml/min/1.73sqm,mg/dL
"eGFR, Serum",>60,ml/min/1.73sgm
ElectricallmPedance,Cells/cu.mm 20 s00,
Electricallmpedance 1-L,2-10,
Electricallmpedance 560.9 Cells/cu.mm 200'1000 Electricallmpedance,Cells/cu.mm 0100 Electracallmpedance 268000 1s0000-410000,
ELOOD GROUP TYPE,,
ENDOCERVICAL-TRANSFORMATION ZONE,,
Enthehal Cells,,/hpf
Eos#,0.02-0.50,x10^9/L
Eos%,0.5-5.0,%
Eosin,00-06,%
EOSINCPHILS,01-06,%
EOSINCPHILS,01-03,%
Eosiniphils,00-07,%
Eosinophd,(1-6),%
Eosinophil,,"37 .2 l,t"
EOSINOPHIL,0-4,%
Eosinophil,1-6,%
Eosinophil,,%
EOSINOPHIL,1.0-6.0,%
Eosinophil,0-6,%
Eosinophil,1-7,%
Eosinophil,01-06,%
EOSINOPHIL,1-8,
Eosinophil,01-07,%
Eosinophil,01%-06%,%
Eosinophil s,,%
EOSINOPHILE,1-6,%
Eosinophils,0-5,%
Eosinophils,1-6,%
EOSINOPHILS,1.0-6.0,%
EOSINOPHILS,20-500,Cells/cu.mm
Eosinophils,00-05,%
Eosinophils,01-05,%
Eosinophils,0-6,%
EOSINOPHILS,20-50,Cells/cu.mm
Eosinophils,1-6 %,%
Eosinophils,01-06,%
Eosinophils,,%
EOSINOPHILS,20-500,Celis/cu.mm
EOSINOPHILS,High 1.0-6.0,%
EOSINOPHILS,0-4,%
Eosinophils,00-07,%
EOSINOPHILS,01-086,%
Eosinophils,00 07,%
EOSINOPHILS,01-06,H %
EOSINOPHILS,20-500,Cells/.u.mm
EOSINOPHILS,1-8,%
EOSINOPHILS,01-08,%
Eosinophils,00-07 %,
Eosinophils,00-7,%
EOSINOPHILS,20-500,Cell/cu.mm
EOSINOPHILS,20-500,Cells/cumm
Eosinophils,02-08,%
Eosinophils,[1-6],%
Eosinophils,;,%
EOSINOPHILS,01-06,(H) %
EOSINOPHILS,High 1-6,%
EOSINOPHILS,02-10,% OL04 % MONOCYTES>02 %
Eosinophils,00-06,%
EOSINOPHILS,MONOCYTES 360 Cells/cu.mm 200-1000,Cells/cu.mm 20-500
EOSINOPHILS,,
EOSINOPHILS,20-500,
Eoslnophil,01-06,%
Eosnophills,2-6,%
EP CELLS,,
Epi.Cell/hpf,,
EPITH CELLS,,
Epith Cell,,
Epithelal Cells,,/hpf
EPITHELAL CELLS,0-10,/hpf
Epithelia Cells,,
Epitheliai Cells,,
Epithelial Calls,0-1,
EPITHELIAL CELI-S,0-10,/ hpf
Epithelial Celis,,
EPITHELIAL CELL,0-10,/hpf
Epithelial Cell,,
Epithelial Cells,,/H.P.F
Epithelial Cells,,/H.P.F.
EPITHELIAL CELLS,0-5,/HPF
EPITHELIAL CELLS,0-10,/hpf
Epithelial Cells,,
Epithelial Cells,,/ HPF
Epithelial Cells,,/hpf
EPITHELIAL CELLS,3-4,/ hpf
Epithelial Cells,0-3,/HPF
Epithelial Cells,1-2,/HPF
EPITHELIAL CELLS,3-5,/hpf
EPITHELIAL CELLS,0.5,/HPF
EPITHELIAL CELLS,0-10,/hef
EPITHELIAL CELLS,3-5,(L) /hpf
EPITHELIAL CELLS,3.5,/hpf
Epithelial Cells,,/HP.F.
EPITHELIAL CELLS,3.4,/hpf
Epithelial Cells,,H.P.F.
EPITHELIAL CELLS,3.4,/ hpf
Epithelial Cells,0-4,/hpf
Epithelial Cells,,HPF
Epithelial Cells,1-2,HPF
EPITHELIAL CELLS,0-10,/ hpf
EPITHELIAL CELLS,,(L) /hpf
EPITHELIAL CELLS,/HPF,0-5
Epithelial Cells,02-03/hpf,
Epithelial Cells,0-2,hpf
Epithelial Cells,2-3,hpf
EPITHELIAL CELLS,2-3,hpf0-10
EPITHELIAL CELLS,1-2,hot jea
Epithelial Cells,1-2,cells H.P.F
Epithelial Cells,H.P.F,
Epithelial Cells / hpf,,
Epithelial cells Occasional/HPF Hyaline cast Notfound Bacteria,,
Epithelial cells OccasionavHPF Hyaline cast Notfound Bacteria-Notfound R.B.C Notfound.RB.C.cast,,
Epithelial Cells Pr.Occassional,,
Epithelial Cells:,,/HPF
EPITHELIAL CELTS,0-10,/hpf
EPITHELIALCELLS,3-4,/ hpf
EpithelialCells,,
EPITHELIAT CELTS,0-10,/hpf
EPITHELIL CELLS,,/hpf
Epithetial Cells,,
EPITHEUAL CELLS,3-4,/ hpf
EPITHEUIAL CELLS,3-4,/ hpf
EPITHEUIAL CELLS,3-5,/hpf
EPITHEUIAL CELLS,,/hpf
Epithilial Cell,,/HPF
Epithilial Cells,,
EQSINOPHILS,1-6,%
ERITHELIAL CELLS,3-4,/hpf
ERYTHOOCYTE SEDIMETATION RATE (ESR),0-15,mm at the end of 1 hour
ERYTHROCYTE,,
Erythrocyte (RBC) Count,4.7-6.0,mill/cu.mm
ERYTHROCYTE SEDI(ESR)MENTATION RATE,0-15,mm at the end of 1 hour
ERYTHROCYTE SEDIMENATION RATE (ESR),0-15,mm at the end of 1 hour
ERYTHROCYTE SEDIMENTAION RATE (ESR),0-15,mm at the end of 1 hour
"ERYTHROCYTE SEDIMENTAION RATE (ESR), WHOLE BLOOD -EDTA",0-20,mm at the end of 1 hour
ERYTHROCYTE SEDIMENTATION RATE,0-15,mm at the end of 1 hour
Erythrocyte Sedimentation Rate,0-10,mm/ After 1hr
ERYTHROCYTE SEDIMENTATION RATE,0-15,mm at the endof 1 hour
Erythrocyte Sedimentation Rate,0-10,mm/1st hr
ERYTHROCYTE SEDIMENTATION RATE,0-20,mm at the end OF 1 hour
Erythrocyte Sedimentation Rate,0-10,mm
ERYTHROCYTE SEDIMENTATION RATE,0-15,mm at the end of 1 hours
Erythrocyte Sedimentation Rate,0-10 mm,mm
ERYTHROCYTE SEDIMENTATION RATE,,mm.
ERYTHROCYTE SEDIMENTATION RATE,0-15,mm at the end
ERYTHROCYTE SEDIMENTATION RATE,0-15,mm.
Erythrocyte Sedimentation Rate,,
Erythrocyte Sedimentation Rate,[0-10mm],mm
Erythrocyte Sedimentation Rate [E.S.R.],0-10,mm
